label,from,to
piid,dc172bc7-878e-11e7-a4f9-1cc1de329608,HR001116C0034
piid,dc172b16-878e-11e7-a4f9-1cc1de329608,HR001115C0094
piid,HR001116C0079,dc172b22-878e-11e7-a4f9-1cc1de329608
piid,HR001116C0079,dc172ad7-878e-11e7-a4f9-1cc1de329608
piid,dc172ab1-878e-11e7-a4f9-1cc1de329608,HR001116C0133
piid,dc172c1f-878e-11e7-a4f9-1cc1de329608,HR001117C0007
piid,HR001115C0149,dc172bbd-878e-11e7-a4f9-1cc1de329608
piid,HR001115C0149,dc172d7a-878e-11e7-a4f9-1cc1de329608
piid,HR001115C0149,dc172bad-878e-11e7-a4f9-1cc1de329608
piid,dc172c02-878e-11e7-a4f9-1cc1de329608,HR001116C0049
piid,HR001115C0147,dc172ce4-878e-11e7-a4f9-1cc1de329608
piid,dc172bfb-878e-11e7-a4f9-1cc1de329608,HR001117C0011
piid,HR001115C0112,dc172bac-878e-11e7-a4f9-1cc1de329608
piid,HR001115C0112,dc172d32-878e-11e7-a4f9-1cc1de329608
piid,HR001116F0005,dc172d3a-878e-11e7-a4f9-1cc1de329608
piid,HR001116F0005,dc172d38-878e-11e7-a4f9-1cc1de329608
piid,HR001116F0005,dc172d39-878e-11e7-a4f9-1cc1de329608
piid,HR001116F0005,dc172d35-878e-11e7-a4f9-1cc1de329608
piid,HR001115C0139,dc172b78-878e-11e7-a4f9-1cc1de329608
piid,HR001117F0002,dc172b8e-878e-11e7-a4f9-1cc1de329608
piid,HR001117F0002,dc172be6-878e-11e7-a4f9-1cc1de329608
piid,HR001117F0002,dc172c3b-878e-11e7-a4f9-1cc1de329608
piid,HR001115C0110,dc172af9-878e-11e7-a4f9-1cc1de329608
piid,dc172b6a-878e-11e7-a4f9-1cc1de329608,HR001110C0100
piid,dc172b3c-878e-11e7-a4f9-1cc1de329608,HR001116C0053
piid,dc172ca0-878e-11e7-a4f9-1cc1de329608,HR001117F0001
piid,HR001117P0006,dc172abd-878e-11e7-a4f9-1cc1de329608
piid,dc172b27-878e-11e7-a4f9-1cc1de329608,HR001113C0094
piid,dc172baf-878e-11e7-a4f9-1cc1de329608,HR001114F0001
piid,dc172c11-878e-11e7-a4f9-1cc1de329608,HR001113C0030
piid,dc172c94-878e-11e7-a4f9-1cc1de329608,0004
piid,HR001116C0129,dc172b6d-878e-11e7-a4f9-1cc1de329608
piid,dc172cd5-878e-11e7-a4f9-1cc1de329608,HR001117C0057
piid,dc172bdb-878e-11e7-a4f9-1cc1de329608,HR001116C0132
piid,dc172cc5-878e-11e7-a4f9-1cc1de329608,HR001114C0014
piid,HR001115F0002,dc172cf1-878e-11e7-a4f9-1cc1de329608
piid,HR001115F0002,dc172ad9-878e-11e7-a4f9-1cc1de329608
piid,HR001115F0002,dc172d7c-878e-11e7-a4f9-1cc1de329608
piid,HR001115F0002,dc172c4a-878e-11e7-a4f9-1cc1de329608
piid,dc172c49-878e-11e7-a4f9-1cc1de329608,HR001113C0051
piid,dc172c53-878e-11e7-a4f9-1cc1de329608,HR001114C0128
piid,dc172bfd-878e-11e7-a4f9-1cc1de329608,HR001116C0110
piid,dc172ae6-878e-11e7-a4f9-1cc1de329608,0051
piid,dc172a94-878e-11e7-a4f9-1cc1de329608,HR001113C0075
piid,HR001117C0077,dc172cc8-878e-11e7-a4f9-1cc1de329608
piid,HR001117C0077,dc172d77-878e-11e7-a4f9-1cc1de329608
piid,dc172ab0-878e-11e7-a4f9-1cc1de329608,HR001116C0065
piid,dc172d2c-878e-11e7-a4f9-1cc1de329608,HR001114C0092
piid,dc172af5-878e-11e7-a4f9-1cc1de329608,HR001107C0039
piid,dc172acc-878e-11e7-a4f9-1cc1de329608,HR001115C0146
piid,dc172ba5-878e-11e7-a4f9-1cc1de329608,HR001115C0137
piid,dc172d22-878e-11e7-a4f9-1cc1de329608,HR001115C0123
piid,dc172cdd-878e-11e7-a4f9-1cc1de329608,HR001113C0068
piid,dc172cc4-878e-11e7-a4f9-1cc1de329608,HR001115C0023
piid,HR001117C0018,dc172b62-878e-11e7-a4f9-1cc1de329608
piid,HR001117C0018,dc172c6c-878e-11e7-a4f9-1cc1de329608
piid,HR001117C0018,dc172ae4-878e-11e7-a4f9-1cc1de329608
piid,dc172bda-878e-11e7-a4f9-1cc1de329608,0067
piid,dc172b32-878e-11e7-a4f9-1cc1de329608,HR001112C0083
piid,HR001117C0027,dc172ca5-878e-11e7-a4f9-1cc1de329608
piid,HR001117C0027,dc172b38-878e-11e7-a4f9-1cc1de329608
piid,HR001117C0027,dc172d01-878e-11e7-a4f9-1cc1de329608
piid,dc172d64-878e-11e7-a4f9-1cc1de329608,HR001112C0024
piid,dc172d3e-878e-11e7-a4f9-1cc1de329608,HR001117C0051
piid,dc172ca8-878e-11e7-a4f9-1cc1de329608,HR001116C0050
piid,HR001114C0093,dc172cc6-878e-11e7-a4f9-1cc1de329608
piid,HR001114C0093,dc172d28-878e-11e7-a4f9-1cc1de329608
piid,dc172b01-878e-11e7-a4f9-1cc1de329608,HR001104C0151
piid,dc172a96-878e-11e7-a4f9-1cc1de329608,HR001116C0088
piid,dc172b1f-878e-11e7-a4f9-1cc1de329608,HR001112C0086
piid,HR001116F0003,dc172ac5-878e-11e7-a4f9-1cc1de329608
piid,HR001116F0003,dc172bbb-878e-11e7-a4f9-1cc1de329608
piid,HR001116F0003,dc172aa1-878e-11e7-a4f9-1cc1de329608
piid,HR001116F0003,dc172d4c-878e-11e7-a4f9-1cc1de329608
piid,HR001117C0048,dc172cf7-878e-11e7-a4f9-1cc1de329608
piid,dc172b74-878e-11e7-a4f9-1cc1de329608,HR001115C0141
piid,dc172c6b-878e-11e7-a4f9-1cc1de329608,HR001116C0071
piid,dc172d09-878e-11e7-a4f9-1cc1de329608,0003
piid,HR001116C0125,dc172a97-878e-11e7-a4f9-1cc1de329608
piid,HR001117C0024,dc172c55-878e-11e7-a4f9-1cc1de329608
piid,HR001117C0024,dc172b0b-878e-11e7-a4f9-1cc1de329608
piid,dc172c3a-878e-11e7-a4f9-1cc1de329608,HR001113C0023
piid,dc172bcc-878e-11e7-a4f9-1cc1de329608,HR001115C0081
piid,HR001116C0082,dc172cb4-878e-11e7-a4f9-1cc1de329608
piid,dc172bd8-878e-11e7-a4f9-1cc1de329608,HR001117C0001
piid,dc172d20-878e-11e7-a4f9-1cc1de329608,HR001115F0004
piid,HR001116C0006,dc172d70-878e-11e7-a4f9-1cc1de329608
piid,HR001116C0006,dc172cb3-878e-11e7-a4f9-1cc1de329608
piid,HR001116C0006,dc172ae1-878e-11e7-a4f9-1cc1de329608
piid,dc172c42-878e-11e7-a4f9-1cc1de329608,HR001116C0111
piid,HR001116C0044,dc172c61-878e-11e7-a4f9-1cc1de329608
piid,HR001116C0044,dc172b3a-878e-11e7-a4f9-1cc1de329608
piid,HR001116C0044,dc172c77-878e-11e7-a4f9-1cc1de329608
piid,HR001116C0044,dc172d52-878e-11e7-a4f9-1cc1de329608
piid,HR001116C0044,dc172bdc-878e-11e7-a4f9-1cc1de329608
piid,dc172a95-878e-11e7-a4f9-1cc1de329608,HR001115C0125
piid,dc172c8b-878e-11e7-a4f9-1cc1de329608,HR001115C0096
piid,dc172d04-878e-11e7-a4f9-1cc1de329608,HR001117C0026
piid,HR001113C0023,dc172b80-878e-11e7-a4f9-1cc1de329608
piid,0065,dc172ad1-878e-11e7-a4f9-1cc1de329608
